state,state_abbr,sector_abbr,year,observed_capacity_kw,observed_count
Wisconsin,WI,com,2014,11511.1,510.9999999999999
Wisconsin,WI,com,2016,16571.09999999999,631.0
Wisconsin,WI,com,2018,37421.98000000001,969.9999999999998
Wisconsin,WI,res,2014,7200.990000000002,1443.0
Wisconsin,WI,res,2016,11856.190000000002,2281.000000000001
Wisconsin,WI,res,2018,19035.089999999997,3534.0
Wyoming,WY,com,2014,127.5862068965521,5.0
Wyoming,WY,com,2016,440.2298850574708,15.000000000000002
Wyoming,WY,com,2018,9141.103448275868,28.999999999999996
Wyoming,WY,res,2014,225.494252873563,54.99999999999999
Wyoming,WY,res,2016,646.1379310344826,115.00000000000004
Wyoming,WY,res,2018,2746.52,377.9999999999999
